ID,Person_ID,Age,Mar_Stat,INC,Female,H8,Eth,Highest Ed
37,1,20,Never married,10000,1,0,White,Some HE
37,2,19,Never married,5300,1,0,White,Some HE
37,3,19,Never married,4700,1,0,Black,Some HE
241,1,50,Never married,32500,1,0,White,Masters or higher 
242,1,29,Never married,30000,1,0,White,Bachelors Degree
377,1,69,Never married,51900,1,0,White,Less than Secondary School
418,1,59,Widowed,12200,1,0,White,Less than Secondary School
465,1,55,Separated,0,0,0,Black,Some HE
465,2,47,Never married,2600,1,0,Black,Less than Secondary School
484,1,33,married,16800,0,0,Hispanic,Secondary School
484,2,26,married,18000,1,0,Hispanic,Less than Secondary School
484,3,4,NA,NA,0,0,Hispanic,Less than Secondary School
484,4,2,NA,NA,1,0,Hispanic,NA
607,1,39,married,16100,0,0,Hispanic,Less than Secondary School
607,2,36,married,17200,1,0,Hispanic,Less than Secondary School
607,3,17,Never married,0,1,0,Hispanic,Less than Secondary School
607,4,15,Never married,0,0,0,Hispanic,Less than Secondary School
607,5,13,NA,NA,1,0,Hispanic,Less than Secondary School
728,1,23,Never married,7600,0,0,Black,Bachelors Degree
728,2,23,Never married,12000,1,0,Hispanic,Some HE
874,1,38,Divorced,19800,1,0,White,Less than Secondary School
874,2,14,NA,NA,0,0,White,Less than Secondary School
894,1,72,married,22500,0,0,White,Secondary School
894,2,69,married,11300,1,0,White,Masters or higher 
930,1,47,Divorced,23010,1,0,White,Secondary School
930,2,36,Never married,6800,1,0,White,Secondary School
930,3,46,married,6400,1,0,White,Secondary School
930,4,48,Never married,13000,1,0,White,Less than Secondary School
963,1,72,Widowed,26000,0,0,White,Less than Secondary School
1014,1,52,married,97000,0,0,White,Masters or higher 
1014,2,54,married,23750,1,0,White,Masters or higher 
1016,1,54,Widowed,25000,1,0,White,Some HE
1024,1,45,Never married,52600,1,0,White,Bachelors Degree
1485,1,66,married,12600,0,0,White,Some HE
1485,2,62,married,28500,1,0,White,Secondary School
1509,1,67,Widowed,8000,0,0,White,Masters or higher 
1839,1,46,Divorced,50000,1,0,White,Some HE
1839,2,20,Never married,5900,0,0,White,Some HE
1839,3,15,Never married,0,0,0,White,Less than Secondary School
1839,4,10,NA,NA,0,0,White,Less than Secondary School
1839,5,4,NA,NA,1,0,White,Less than Secondary School
1839,6,4,NA,NA,1,0,White,Less than Secondary School
1897,1,59,married,20060,1,0,White,Secondary School
1897,2,61,married,27800,0,0,White,Some HE
2043,1,38,married,30900,0,0,White,Bachelors Degree
2043,2,42,married,45500,1,0,White,Bachelors Degree
2043,3,12,NA,NA,0,0,White,Less than Secondary School
2043,4,9,NA,NA,1,0,White,Less than Secondary School
2203,1,48,married,101350,0,0,White,Bachelors Degree
2203,2,48,married,41000,1,0,White,Secondary School
2203,3,21,Never married,29700,1,0,White,Some HE
2203,4,18,Never married,0,0,0,White,Less than Secondary School
2203,5,18,Never married,1600,0,0,White,Less than Secondary School
2614,1,19,Never married,7000,1,0,White,Less than Secondary School
2614,2,18,Never married,13000,0,0,Other,Less than Secondary School
2614,3,0,NA,NA,1,0,Other,NA
2976,1,49,married,100000,0,0,White,Masters or higher 
2976,2,48,married,296000,1,0,White,Masters or higher 
3024,1,34,married,12000,0,0,White,Less than Secondary School
3024,2,34,married,0,1,0,White,Less than Secondary School
3024,3,15,Never married,0,1,0,White,Less than Secondary School
3024,4,12,NA,NA,0,0,White,Less than Secondary School
3024,5,5,NA,NA,0,0,White,Less than Secondary School
3250,1,72,Widowed,7500,1,0,White,Less than Secondary School
3508,1,40,Separated,13000,1,0,White,Less than Secondary School
3508,2,19,Never married,11400,1,0,White,Less than Secondary School
3508,3,0,NA,NA,0,0,White,NA
3508,4,34,Never married,12500,0,0,White,Less than Secondary School
3508,5,17,Never married,29300,0,0,White,Less than Secondary School
3550,1,27,Divorced,11804,0,0,White,Some HE
3817,1,65,married,45100,0,0,White,Some HE
3817,2,64,married,5500,1,0,White,Some HE
4088,1,58,Widowed,17000,1,0,White,Less than Secondary School
4097,1,35,married,52000,0,0,White,Some HE
4097,2,30,married,2600,1,0,White,Some HE
4097,3,8,NA,NA,0,0,White,Less than Secondary School
4097,4,3,NA,NA,0,0,White,Less than Secondary School
4097,5,1,NA,NA,0,0,White,NA
4097,6,0,NA,NA,0,0,White,NA
4173,1,35,married,65000,1,0,White,Less than Secondary School
4173,2,35,married,65000,0,0,White,Secondary School
4173,3,16,Never married,2500,0,0,White,Less than Secondary School
4173,4,14,NA,NA,1,0,White,Less than Secondary School
4173,5,9,NA,NA,1,0,White,Less than Secondary School
4201,1,42,Separated,52000,1,0,White,Some HE
4201,2,15,Never married,170,0,0,White,Less than Secondary School
4201,3,13,NA,NA,0,0,White,Less than Secondary School
4363,1,53,Separated,8560,1,0,White,Secondary School
4363,2,28,Never married,5500,0,0,White,Bachelors Degree
4363,3,28,Never married,46000,0,0,White,Bachelors Degree
4377,1,66,married,95800,0,0,White,Masters or higher 
4377,2,60,married,24900,1,0,White,Secondary School
4398,1,33,married,10000,1,0,White,Masters or higher 
4398,2,34,married,76000,0,0,White,Masters or higher 
4398,3,5,NA,NA,0,0,White,Less than Secondary School
4398,4,3,NA,NA,0,0,White,Less than Secondary School
4398,5,0,NA,NA,0,0,White,NA
4429,1,52,married,35400,0,0,White,Secondary School
4429,2,52,married,35300,1,0,White,Some HE
4635,1,37,married,49500,0,0,White,Masters or higher 
4635,2,36,married,2200,1,0,White,Bachelors Degree
4635,3,12,NA,NA,1,0,White,Less than Secondary School
4635,4,9,NA,NA,0,0,White,Less than Secondary School
4635,5,8,NA,NA,1,0,White,Less than Secondary School
4733,1,60,married,54600,0,0,White,Secondary School
4733,2,55,married,9800,1,0,White,Some HE
4733,3,27,Never married,27000,1,0,White,Some HE
4733,4,9,NA,NA,0,0,White,Less than Secondary School
4820,1,31,married,37800,0,0,White,Some HE
4820,2,32,married,38000,1,0,Hispanic,Some HE
4820,3,3,NA,NA,1,0,Other,Less than Secondary School
4877,1,22,Never married,4600,1,0,White,Some HE
5011,1,28,Divorced,33200,1,0,White,Bachelors Degree
5011,2,27,Never married,20600,1,0,White,Bachelors Degree
5084,1,61,married,50000,0,0,White,Some HE
5084,2,63,married,12200,1,0,White,Some HE
5084,3,36,Divorced,17600,1,0,White,Secondary School
5095,1,29,Never married,26500,0,0,White,Some HE
5095,2,23,Never married,23000,1,0,White,Some HE
5095,3,28,Never married,48100,0,0,White,Bachelors Degree
5095,4,29,Never married,27000,0,0,White,Secondary School
5130,1,43,married,45000,0,0,White,Secondary School
5130,2,38,married,40100,1,0,White,Masters or higher 
5376,1,43,Never married,78400,0,0,White,Masters or higher 
5447,1,29,Never married,17600,0,0,White,Secondary School
5912,1,53,married,18300,0,0,White,Some HE
5912,2,53,married,39500,1,0,White,Secondary School
6251,1,43,married,150000,0,0,White,Bachelors Degree
6251,2,42,married,6700,1,0,White,Some HE
6251,3,15,Never married,0,0,0,White,Less than Secondary School
6251,4,13,NA,NA,0,0,White,Less than Secondary School
6251,5,10,NA,NA,0,0,White,Less than Secondary School
6350,1,56,married,54000,0,0,White,Masters or higher 
6350,2,56,married,36000,1,0,White,Some HE
6577,1,49,married,32150,0,0,White,Some HE
6577,2,55,married,29500,1,0,White,Masters or higher 
6878,1,54,Divorced,15600,0,0,White,Secondary School
6939,1,52,Divorced,32000,0,0,White,Secondary School
6939,2,82,Widowed,4800,1,0,White,Secondary School
6985,1,25,married,24000,0,0,White,Some HE
6985,2,26,married,28900,1,0,White,Some HE
6985,3,9,NA,NA,0,0,White,Less than Secondary School
6985,4,6,NA,NA,0,0,White,Less than Secondary School
7174,1,42,Divorced,34700,0,0,White,Secondary School
7174,2,12,NA,NA,0,0,White,Less than Secondary School
7268,1,54,Widowed,0,1,0,White,Bachelors Degree
7276,1,74,Widowed,21300,1,0,White,Secondary School
7284,1,58,married,20620,0,0,White,Less than Secondary School
7284,2,58,married,20800,1,0,White,Secondary School
7284,3,39,Divorced,5100,1,0,White,Secondary School
7296,1,72,Divorced,11000,1,0,White,Some HE
7510,1,86,Widowed,30200,1,0,White,Less than Secondary School
7517,1,27,married,14000,0,0,White,Some HE
7517,2,26,married,13000,1,0,White,Secondary School
7563,1,45,married,40350,0,0,White,Some HE
7563,2,45,married,31100,1,0,White,Masters or higher 
7633,1,35,Never married,36660,1,0,White,Masters or higher 
7633,2,39,Never married,33300,1,0,White,Bachelors Degree
7650,1,46,married,23000,1,0,White,Secondary School
7650,2,53,married,40000,0,0,White,Less than Secondary School
7650,3,20,Never married,6400,0,0,White,Less than Secondary School
7650,4,18,Never married,6400,0,0,White,Less than Secondary School
7746,1,51,married,30420,0,0,White,Some HE
7746,2,51,married,25000,1,0,White,Some HE
7746,3,81,Widowed,12200,0,0,White,Secondary School
7837,1,33,married,28000,0,0,White,Secondary School
7837,2,26,married,15000,1,0,White,Some HE
8314,1,34,Never married,73000,0,0,White,Some HE
8435,1,39,married,15000,0,1,Asian,Less than Secondary School
8435,2,40,married,31220,1,1,Asian,Less than Secondary School
8435,3,14,NA,NA,0,1,Asian,Less than Secondary School
8435,4,12,NA,NA,0,1,Asian,Less than Secondary School
8466,1,31,married,60380,0,0,White,Bachelors Degree
8466,2,30,married,20300,1,0,White,Bachelors Degree
8466,3,0,NA,NA,0,0,White,NA
8740,1,21,Never married,10000,0,0,White,Secondary School
8740,2,20,Never married,5500,0,0,White,Secondary School
8740,3,21,Never married,9000,0,0,White,Secondary School
8787,1,45,Divorced,38000,1,0,White,Some HE
8787,2,16,Never married,3600,0,0,White,Less than Secondary School
8787,3,15,Never married,200,1,0,White,Less than Secondary School
8969,1,79,married,22100,0,0,White,Less than Secondary School
8969,2,70,married,12000,1,0,White,Some HE
8969,3,37,Divorced,13600,0,0,White,Some HE
8981,1,75,married,18700,0,0,White,Some HE
8981,2,72,married,5100,1,0,White,Secondary School
9191,1,20,Never married,6730,0,0,White,Some HE
9389,1,87,married,14600,0,0,White,Secondary School
9389,2,71,married,12000,1,0,White,Some HE
9389,3,38,Divorced,20000,0,0,White,Secondary School
9645,1,34,Never married,21000,0,0,White,Some HE
9645,2,37,Divorced,12000,1,0,White,Secondary School
9645,3,8,NA,NA,0,0,White,Less than Secondary School
9671,1,46,Divorced,14000,0,0,White,Some HE
9671,2,18,Never married,7500,0,0,White,Less than Secondary School
10041,1,61,married,17600,0,0,White,Secondary School
10041,2,56,married,23900,1,0,White,Secondary School
10041,3,23,Never married,300,1,0,White,Some HE
10135,1,22,Never married,6030,1,0,White,Some HE
10135,2,20,Never married,2000,1,0,White,Some HE
10199,1,52,married,51500,0,0,White,Some HE
10199,2,55,married,32200,1,0,Hispanic,Less than Secondary School
10327,1,72,married,33300,0,0,White,Bachelors Degree
10327,2,67,married,7200,1,0,White,Masters or higher 
10472,1,40,Never married,12000,1,0,Black,Some HE
10472,2,19,Never married,0,0,0,Black,Less than Secondary School
10472,3,15,Never married,6000,0,0,Black,Less than Secondary School
10516,1,50,Divorced,23000,1,0,Black,Bachelors Degree
10794,1,33,Never married,14300,0,0,White,Secondary School
10794,2,3,NA,NA,0,0,Other,Less than Secondary School
10794,3,1,NA,NA,1,0,Other,NA
10794,4,27,Separated,8100,1,0,Other,Some HE
10794,5,9,NA,NA,1,0,Other,Less than Secondary School
10794,6,34,Never married,1800,0,0,Black,Some HE
10972,1,57,Widowed,6160,1,0,Black,Less than Secondary School
11214,1,51,Divorced,19630,1,0,White,Some HE
11214,2,26,Divorced,12000,1,0,White,Secondary School
11214,3,3,NA,NA,1,0,White,Less than Secondary School
11360,1,63,married,122700,0,0,White,Secondary School
11360,2,59,married,5000,1,0,White,Secondary School
11407,1,46,married,42000,0,0,White,Less than Secondary School
11407,2,42,married,800,1,0,White,Secondary School
11407,3,14,NA,NA,0,0,White,Less than Secondary School
11407,4,1,NA,NA,1,0,White,NA
11407,5,65,Widowed,18000,1,0,White,Secondary School
11442,1,46,married,117004,0,1,Asian,Masters or higher 
11442,2,44,married,0,1,1,Asian,Masters or higher 
11442,3,14,NA,NA,0,1,Asian,Less than Secondary School
11651,1,38,Never married,11000,0,0,White,Less than Secondary School
11819,1,46,married,18000,0,0,White,Secondary School
11819,2,44,married,15000,1,0,White,Less than Secondary School
11819,3,13,NA,NA,0,0,White,Less than Secondary School
11819,4,12,NA,NA,1,0,White,Less than Secondary School
11823,1,38,married,20500,0,0,White,Bachelors Degree
11823,2,41,married,0,1,0,White,Some HE
11875,1,37,Never married,35000,0,0,White,Secondary School
12249,1,48,Never married,50000,1,0,White,Masters or higher 
12259,1,59,married,30000,0,0,White,Secondary School
12259,2,59,married,0,1,0,White,Secondary School
12260,1,72,married,38380,0,0,White,Some HE
12260,2,66,married,2900,1,0,White,Secondary School
12286,1,26,Never married,27400,0,0,White,Some HE
12286,2,30,Divorced,27000,1,0,White,Secondary School
12286,3,30,Divorced,30000,0,0,White,Some HE
12329,1,45,Divorced,3900,1,0,White,Secondary School
12413,1,67,married,120330,0,0,White,Some HE
12413,2,49,married,0,1,0,White,Secondary School
12477,1,51,married,42050,0,0,Other,Some HE
12477,2,49,married,24000,1,0,Other,Secondary School
12477,3,19,Never married,8000,1,0,Other,Secondary School
12477,4,0,NA,NA,0,0,Other,NA
12528,1,39,married,63004,0,0,White,Secondary School
12528,2,45,married,0,1,0,White,Secondary School
12528,3,20,Never married,3000,0,0,White,Secondary School
12806,1,49,married,34000,0,0,White,Masters or higher 
12806,2,39,married,15000,1,0,White,Some HE
12806,3,16,Never married,0,0,0,White,Less than Secondary School
12806,4,11,NA,NA,0,0,White,Less than Secondary School
12949,1,51,Widowed,32000,0,0,White,Some HE
12949,2,30,Never married,5900,1,0,Hispanic,Secondary School
12949,3,24,Never married,17700,0,0,Other,Some HE
12964,1,42,Divorced,25000,1,0,White,Some HE
12964,2,55,Divorced,30000,0,0,White,Some HE
13226,1,81,Widowed,6910,1,0,Black,Less than Secondary School
13280,1,40,Divorced,40000,0,0,Other,Some HE
13394,1,21,Never married,13000,0,0,White,Some HE
13394,2,21,Never married,21300,0,0,White,Some HE
13772,1,56,married,33500,0,0,White,Less than Secondary School
13772,2,56,married,3500,1,0,White,Secondary School
13794,1,39,married,23000,0,0,White,Secondary School
13794,2,31,married,15000,1,0,White,Secondary School
13794,3,10,NA,NA,1,0,White,Less than Secondary School
13794,4,1,NA,NA,0,0,White,NA
13820,1,76,married,11000,0,0,White,Less than Secondary School
13820,2,63,married,9300,1,0,White,Some HE
13828,1,42,Separated,6100,1,0,Black,Less than Secondary School
13828,2,59,Separated,7000,0,0,Black,Less than Secondary School
13999,1,32,married,61030,0,0,White,Some HE
13999,2,37,married,50000,1,0,White,Bachelors Degree
13999,3,11,NA,NA,1,0,White,Less than Secondary School
13999,4,9,NA,NA,1,0,White,Less than Secondary School
13999,5,1,NA,NA,1,0,White,NA
14102,1,28,married,30000,0,0,White,Secondary School
14102,2,25,married,6400,1,0,White,Secondary School
14102,3,2,NA,NA,1,0,White,NA
14306,1,65,Widowed,16200,1,0,White,Secondary School
14306,2,36,Divorced,23100,0,0,White,Some HE
14429,1,66,married,7000,0,0,White,Bachelors Degree
14429,2,62,married,29000,1,0,White,Bachelors Degree
14947,1,45,Never married,4440,1,0,Black,Less than Secondary School
14947,2,4,NA,NA,0,0,Black,Less than Secondary School
14947,3,2,NA,NA,0,0,Black,NA
14947,4,14,NA,NA,0,0,Black,Less than Secondary School
15365,1,39,married,34000,0,0,White,Masters or higher 
15365,2,40,married,12270,1,0,White,Secondary School
15365,3,13,NA,NA,0,0,White,Less than Secondary School
15365,4,11,NA,NA,1,0,White,Less than Secondary School
15386,1,47,married,10000,0,0,White,Less than Secondary School
15386,2,48,married,42000,1,0,White,Secondary School
15436,1,30,Never married,17000,0,0,Black,Some HE
15585,1,36,married,36000,1,0,White,Secondary School
15585,2,42,married,30000,0,0,White,Some HE
15585,3,1,NA,NA,1,0,Hispanic,NA
16131,1,39,Divorced,12000,1,0,Black,Secondary School
16131,2,10,NA,NA,1,0,Black,Less than Secondary School
16131,3,34,Never married,31000,0,0,Black,Secondary School
16152,1,50,Divorced,50600,1,0,White,Bachelors Degree
16358,1,40,Never married,41100,1,0,Black,Masters or higher 
16464,1,38,Divorced,47000,0,0,White,Bachelors Degree
16464,2,11,NA,NA,1,0,White,Less than Secondary School
16554,1,71,Widowed,8300,1,0,White,Secondary School
16554,2,73,married,9700,1,0,White,Secondary School
16554,3,72,married,10800,0,0,White,Less than Secondary School
16649,1,49,Widowed,24600,1,0,White,Secondary School
16649,2,12,NA,NA,0,0,White,Less than Secondary School
16730,1,42,married,30000,0,0,White,Secondary School
16730,2,41,married,18000,1,0,White,Some HE
16730,3,9,NA,NA,0,0,White,Less than Secondary School
16864,1,69,Never married,50100,0,0,White,Masters or higher 
16864,2,53,Never married,0,0,0,White,Masters or higher 
16957,1,25,Separated,1500,1,0,White,Less than Secondary School
16957,2,8,NA,NA,0,0,White,Less than Secondary School
16957,3,6,NA,NA,0,0,White,Less than Secondary School
16957,4,5,NA,NA,0,0,White,Less than Secondary School
16957,5,1,NA,NA,1,0,White,NA
16957,6,28,Divorced,19000,0,0,White,Less than Secondary School
17295,1,63,married,5000,0,0,White,Less than Secondary School
17295,2,63,married,10000,1,0,White,Some HE
17395,1,67,married,1500,0,0,White,Less than Secondary School
17395,2,58,married,0,1,0,White,Less than Secondary School
17852,1,72,Widowed,20110,1,0,White,Some HE
18109,1,76,Divorced,23800,1,0,Black,Secondary School
18133,1,68,married,20450,1,0,Black,Some HE
18133,2,53,married,0,0,0,Black,Some HE
18184,1,85,married,12000,0,0,White,Secondary School
18184,2,87,married,0,1,0,White,Secondary School
18501,1,67,Divorced,22800,1,0,White,Masters or higher 
18647,1,20,Never married,2000,1,1,Asian,Some HE
18663,1,22,Never married,900,0,0,White,Some HE
18663,2,21,Never married,900,0,0,White,Some HE
